nom_elu	prenom_elu	sexe_elu	date_naissance_elu	code_categorie_socio_professionnelle	libelle_categorie_socio_professionnelle	date_debut_mandat	lieu_naissance_elu	code_nuance_mandat	libelle_nuance_mandat
ALFONSI	François	M	1953-09-14 00:00:00+00	38	Ingénieur et cadre technique d'entreprise	2019-05-26 00:00:00+00	AJACCIO	REG	Régionaliste
ANDRIEU	Éric	M	1960-04-14 00:00:00+00	154	Permanent politique (obsolète)	2019-05-26 00:00:00+00		SOC	Socialiste
ANDROUËT	Mathilde	F	1984-07-03 00:00:00+00	120	Employé (secteur privé) (obsolète)	2019-05-26 00:00:00+00		RN	Rassemblement National
AUBRY	Manon	F	1989-12-22 00:00:00+00	119	Autre cadre (secteur privé) (obsolète)	2019-05-26 00:00:00+00	FREJUS	FI	La France insoumise
BARDELLA	Jordan	M	1995-09-13 00:00:00+00	33	Cadre de la fonction publique	2019-05-26 00:00:00+00	Drancy	RN	Rassemblement National
BAY	Nicolas	M	1977-12-21 00:00:00+00	23	Chef d'entreprise de 10 salariés ou plus	2019-05-26 00:00:00+00	SAINT-GERMAIN-EN-LAYE (78)	RN	Rassemblement National
BEIGNEUX	Aurélia	F	1980-06-02 00:00:00+00	43	Profession intermédiaire de la santé et du travail social	2019-05-26 00:00:00+00	RILLE	RN	Rassemblement National
BELLAMY	François-Xavier	M	1985-10-11 00:00:00+00	142	Professeur du secondaire et techn. (obsolète)	2019-05-26 00:00:00+00	PARIS 13	LR	Les Républicains
BIJOUX	Stéphane	M	1970-10-08 00:00:00+00	137	Journaliste et autre média (obsolète)	2019-05-26 00:00:00+00	Saint-Denis	REM	La République en marche
BILDE	Dominique	F	1953-08-01 00:00:00+00	139	Autre profession libérale (obsolète)	2019-05-26 00:00:00+00	Nancy	RN	Rassemblement National
BITEAU	Benoît	M	1967-04-07 00:00:00+00	101	Agriculteur propriétaire exploit. (obsolète)	2019-05-26 00:00:00+00		DVG	Divers gauche
BOYER	Gilles	M	1971-07-04 00:00:00+00	154	Permanent politique (obsolète)	2019-05-26 00:00:00+00	Paris	DVD	Divers droite
BRUNA	Annika	F	1956-11-26 00:00:00+00	154	Permanent politique (obsolète)	2019-05-26 00:00:00+00	Versailles	RN	Rassemblement National
BRUNET	Sylvie	F	1959-03-12 00:00:00+00	34	Professeur, profession scientifique	2019-05-26 00:00:00+00	VERSAILLES	MDM	Modem
CANFIN	Pascal	M	1974-08-22 00:00:00+00	118	Cadre supérieur (secteur privé) (obsolète)	2019-05-26 00:00:00+00	Arras	ECO	Ecologiste
CAREME	Damien	M	1960-11-16 00:00:00+00	156	Autre profession (obsolète)	2019-05-26 00:00:00+00	Joeuf	VEC	Europe Ecologie - Les Verts
CHABAUD	Catherine	F	1962-11-29 00:00:00+00	157	Sans profession déclarée (obsolète)	2019-05-26 00:00:00+00	Bron	MDM	Modem
CHAGNON	Patricia	F	1963-11-20 00:00:00+00	31	Profession libérale	2022-08-04 00:00:00+00	Eindhoven	RN	Rassemblement National
CHAIBI	Leïla	F	1982-10-05 00:00:00+00	147	Fonctionnaire de catégorie A (obsolète)	2019-05-26 00:00:00+00	Dijon	FI	La France insoumise
CICUREL	Ilana	F	1972-02-08 00:00:00+00	31	Profession libérale	2020-02-01 00:00:00+00	PARIS 16ÈME	REM	La République en marche
COLIN-OESTERLÉ	Nathalie	F	1965-05-05 00:00:00+00	31	Profession libérale	2019-05-26 00:00:00+00	Ollioules	UDI	Union des Démocrates et des Indépendants
COLLARD	Gilbert	M	1948-02-03 00:00:00+00	129	Avocat (obsolète)	2019-05-26 00:00:00+00	Vauvert	RN	Rassemblement National
CORMAND	David	M	1974-11-30 00:00:00+00	157	Sans profession déclarée (obsolète)	2019-05-26 00:00:00+00		VEC	Europe Ecologie - Les Verts
DANJEAN	Arnaud	M	1971-02-11 00:00:00+00	147	Fonctionnaire de catégorie A (obsolète)	2019-05-26 00:00:00+00	Louhans	LR	Les Républicains
DAUCHY	Marie	F	1987-02-05 00:00:00+00	55	Employé de commerce	2022-08-04 00:00:00+00		RN	Rassemblement National
DECERLE	Jérémy	M	1984-07-01 00:00:00+00	12	Agriculteur sur moyenne exploitation	2019-05-26 00:00:00+00	Saint-Rémy	REM	La République en marche
DELBOS-CORFIELD	Gwendoline	F	1977-03-08 00:00:00+00	150	Cadre sup. (entreprises publiques) (obsolète)	2019-05-26 00:00:00+00	Solihull, Midlands (RU)	VEC	Europe Ecologie - Les Verts
DELLI	Karima	F	1979-03-04 00:00:00+00	33	Cadre de la fonction publique	2019-05-26 00:00:00+00	Roubaix	VEC	Europe Ecologie - Les Verts
